id,uri,file,inception,title_en,title_es,label_en,label_es,caption
Q5766842,http://www.wikidata.org/entity/Q5766842,Q5766842.jpg,1799,,Chitón,Chitón,,"The image is a black-and-white drawing of a man and a woman. The man is holding a sword in his right hand and appears to be in a defensive stance. He has curly hair and is wearing a long-sleeved shirt and pants. The woman is standing to the right of the man. She has long hair and is also wearing a long-sleeved shirt and pants. Her hair is tied back, and she is wearing a headscarf. The background consists of a landscape with trees and a cloudy sky. There is text at the bottom of the image that reads ""Chiton.""

### Analysis and Description:
1. **Subjects**: The image features a man and a woman.
2. **Attire**: The man is wearing a long-sleeved shirt and pants, while the woman is wearing a long-sleeved shirt and pants with a headscarf.
3. **Action**: The man is holding a"
Q5783623,http://www.wikidata.org/entity/Q5783623,Q5783623.jpg,1763,,,Consecration of Aloysius Gonzaga as patron saint of youth,,"The image appears to be a painting or drawing depicting a religious scene. The central figure in the image is a man dressed in a long, flowing robe, holding a staff in his left hand and pointing upwards with his right hand. He has a halo around his head and is surrounded by clouds, suggesting a divine or heavenly presence.

Surrounding the central figure are several other figures, some of whom appear to be angels or heavenly beings. These figures are depicted in various poses and gestures, some of them reaching out towards the central figure, while others seem to be interacting with the central figure.

In the background, there is a large, ornate building with columns and arches. The building appears to be a church or a place of worship, as indicated by the architectural style and the presence of stained glass windows.

The painting is done in a realistic style, with attention to detail in the clothing, facial expressions, and body language of the figures. The colors used in the"
Q5791722,http://www.wikidata.org/entity/Q5791722,Q5791722.jpg,1819,,,Christ on the Mount of Olives,,"The image depicts a scene from a painting or drawing. In the foreground, there is a figure dressed in long, flowing robes. The figure appears to be a man, with long hair and a beard. He is standing with his arms outstretched, as if he is reaching out towards something or someone. His posture suggests a sense of movement and purpose.

In the background, there is another figure, also dressed in long robes. This person seems to be seated on a raised platform or ledge. They appear to be enjoying a meal, as indicated by the presence of a plate in their hands. The plate is filled with food, suggesting that they might be enjoying a meal together.

The background of the image is dark, with a strong contrast between the light and dark areas. This creates a dramatic effect, drawing the viewer's attention to the figures in the foreground. The dark background helps to emphasize the figures and their actions, making them the focal point of the image."
Q5795925,http://www.wikidata.org/entity/Q5795925,Q5795925.jpg,1786,Boy on a Ram,El niño del carnero.,Boy on a Ram,,"The painting depicts a young woman seated on a rocky hilltop, holding a whip in her right hand. She is wearing a wide-brimmed hat with a red ribbon and a white blouse. The woman's face is not clearly visible, but she appears to be focused on the task at hand. She is holding the whip in her right hand, which is raised above her head, suggesting she is attempting to control or guide the goat she is riding.

The goat is standing on its hind legs, with its front legs in the air. The goat has a brown coat and is wearing a bell around its neck. The background of the painting is dominated by a sky filled with clouds. The sky is painted in various shades of blue and white, creating a sense of depth and atmosphere. In the distance, there are faint outlines of hills and trees, suggesting a natural landscape.

The painting is done in a realistic style, with attention to detail in the depiction of the woman"
Q5796865,http://www.wikidata.org/entity/Q5796865,Q5796865.jpg,1793,,Cómicos ambulantes,The Strolling Players,,"The painting depicts a lively scene with several individuals engaged in various activities. In the foreground, on the left side of the image, there is a person dressed in what appears to be a military uniform. This individual seems to be in motion, possibly engaged in some form of physical activity, such as running or jumping.

To the right of the person in the military uniform, there is a young child dressed in what seems to be a colonial-era outfit. The child is barefoot and appears to be in motion, possibly running or leaping.

In the center of the image, there is a woman dressed in a traditional colonial-era outfit. She is holding a small object, possibly a doll or a toy, and seems to be interacting with the child in the foreground.

In the background, there is a landscape with rolling hills and a body of water, suggesting a rural or semi-rural setting. The sky above is cloudy, indicating a potentially overcast day."
Q5804354,http://www.wikidata.org/entity/Q5804354,Q5804354.jpg,1799,,"Despacha, que dispiertan","Despacha, que dispiertan",,"The image is a black-and-white drawing or painting depicting three figures seated at a table. The central figure appears to be a woman with long hair, wearing a long dress and a hat. She is holding a long stick, possibly a spear, in her right hand, and her left hand is resting on the table. The other two figures appear to be men, one of whom is seated on the left side of the table and the other on the right side. The man seated on the left side of the table is wearing a long robe, while the man seated on the right side is wearing a hat and a long robe. The background of the image is plain, with no additional details or objects visible.

The drawing is done in a realistic style, with fine lines and shading used to create depth and texture. The figures are depicted in a way that suggests they are engaged in a moment of contemplation or discussion, as indicated by their postures and the objects they are holding. The"
Q5804778,http://www.wikidata.org/entity/Q5804778,Q5804778.jpg,1799,,Devota profesion,Devota profesion,,"The image is a black-and-white drawing or painting. The central figure is a naked man lying on a bed. He appears to be in a state of distress, with his eyes closed and his face contorted in pain or agony. He is surrounded by other figures, two of whom are seated on either side of him. One of these seated figures appears to be a woman, while the other is a man. The woman is holding a book in her hands, suggesting that she might be reading or explaining something to the man.

The background of the image is plain and unadorned, focusing the viewer's attention on the central figures. There are no other objects or details in the background, which helps to keep the viewer's focus on the central subjects.

The text at the bottom of the image reads ""Devota Profession,"" which translates to ""Devota Profession"" in English. This indicates that the image is likely depicting a religious or spiritual context"
Q5807649,http://www.wikidata.org/entity/Q5807649,Q5807649.jpg,1799,,Dios la perdone. Y era su madre,Dios la perdone. Y era su madre,,"The image is a black-and-white drawing or painting of two women. The women are depicted standing side by side, facing slightly towards each other. The woman on the left is holding a rectangular object in her hands, which appears to be a piece of fabric or a hat. The woman on the right is holding a similar object in her hands. Both women are dressed in long, loose-fitting garments. The woman on the left is wearing a dark-colored garment with a hood, while the woman on the right is wearing a light-colored garment with a hood.

The background of the image is blurred, but it appears to be an outdoor scene, possibly a landscape or a natural setting. There are no other objects or figures in the background, which helps to keep the focus on the two women.

The text at the bottom of the image reads ""Dios la perdona. Yera su madre,"" which translates to ""God be with you. Mother"
Q5823782,http://www.wikidata.org/entity/Q5823782,Q5823782.jpg,1786,,,El albañil borracho (boceto),,"The image depicts a scene from what appears to be an outdoor setting, possibly a circus or a circus-like venue. In the foreground, there are three individuals engaged in what seems to be a playful or celebratory activity. 

The individual on the left is wearing a light-colored shirt and dark pants. They have short hair and are smiling, appearing to be enjoying themselves. The individual in the middle is wearing a dark-colored outfit, possibly a t-shirt and pants, and is also smiling. This person is holding the third individual, who is standing on the ground. The third individual is wearing a dark-colored outfit and has short hair. They are also smiling and appear to be enjoying themselves.

In the background, there is a structure that resembles a fence or railing. The structure is made of metal and appears to be part of a circus or circus-like venue. The sky in the background is partly cloudy with patches of blue visible, suggesting it might be"
Q5823784,http://www.wikidata.org/entity/Q5823784,Q5823784.jpg,1786,,,The wounded bricklayer,,"The painting or drawing depicts a scene with three figures. The central figure appears to be a man dressed in dark clothing, possibly a military uniform, with a white cravat around his neck. He is seated on an elevated surface, possibly a platform or a raised platform, with one leg bent at the knee and the other bent at the elbow, supporting his weight. The man's face is not clearly visible, but his posture suggests he is in a relaxed state.

To the left of the central figure, there is another man dressed in light-colored clothing. He is also seated on an elevated surface, but his posture is different from that of the central figure. He appears to be in a more upright position, with one leg bent at the knee and the other bent at the elbow, supporting his weight. His facial expression is not clearly visible, but his posture suggests he is also in a relaxed state.

To the right of the central figure, there is another man dressed in"
